analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,gradient_weighted_ridge,81,8.479116581664535,6.7368362472116905,0.01204172082606425
repeat,2,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,gradient_weighted_ridge,81,9.14405696672561,7.268049008297676,-0.14898732537923598
repeat,3,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,gradient_weighted_ridge,81,9.161658907862742,7.180723675084302,-0.15341509150684374
repeat,4,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,gradient_weighted_ridge,81,9.106707666302727,7.137141722489922,-0.13962031658679708
repeat,5,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,gradient_weighted_ridge,81,8.901791856354777,6.990720347166402,-0.08891069290980491
repeat,6,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,gradient_weighted_ridge,81,8.561919717191243,6.859084852892248,-0.007348384854697798
repeat,7,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,gradient_weighted_ridge,81,8.913857347627225,6.997431712653855,-0.09186451309853894
repeat,8,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,gradient_weighted_ridge,81,9.11472965178207,7.369103956440265,-0.14162895560576172
repeat,9,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,gradient_weighted_ridge,81,9.222405886971039,7.267307529346756,-0.1687613892403017
repeat,10,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,gradient_weighted_ridge,81,9.382056629723195,7.385818789753528,-0.20957692138011907
repeat,11,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,gradient_weighted_ridge,81,8.791480532803591,6.951183805856412,-0.06209026819059149
repeat,12,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,gradient_weighted_ridge,81,8.964008159072524,7.083612731411633,-0.10418508938346727
repeat,13,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,gradient_weighted_ridge,81,9.060057917405654,7.233170809412267,-0.1279746510077182
repeat,14,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,gradient_weighted_ridge,81,9.156633768103271,7.228617112754616,-0.1521501497467188
repeat,15,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,gradient_weighted_ridge,81,8.920109715419091,7.107343292796987,-0.09339676394297958
repeat,16,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,gradient_weighted_ridge,81,8.785716368563996,7.028886399860254,-0.06069799853939539
repeat,17,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,gradient_weighted_ridge,81,8.939433798890299,7.001559681163915,-0.09813925642315491
repeat,18,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,gradient_weighted_ridge,81,8.902067409002436,7.07674445673973,-0.08897810784678772
repeat,19,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,gradient_weighted_ridge,81,8.726456297317606,6.832134578421806,-0.04643733964938179
repeat,20,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,gradient_weighted_ridge,81,8.637162978876052,6.8539730069327165,-0.025131600294535428
pooled,pooled,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,gradient_weighted_ridge,1620,8.758787393410525,6.932558035820823,-0.054205702624986474
