prediction_bin,feature_scope,n_patients,mean_actual_global_T1,mean_predicted_global_T1,model
"(97.512, 97.809]",all_available,21,104.83809523809524,97.73566391941392,mean_baseline
"(97.809, 97.938]",all_available,20,100.345,97.89235384615384,mean_baseline
"(97.938, 98.022]",all_available,20,96.265,97.98385594951924,mean_baseline
"(98.022, 98.331]",all_available,20,89.925,98.11015,mean_baseline
"(96.173, 97.522]",all_available,21,101.84761904761906,97.23549543544321,ridge
"(97.522, 97.815]",all_available,20,97.24499999999999,97.6937383455105,ridge
"(97.815, 98.398]",all_available,20,95.55499999999999,98.09819192193515,ridge
"(98.398, 101.922]",all_available,20,96.875,99.34788400404533,ridge
"(97.512, 97.809]",primary_37,21,104.83809523809524,97.73566391941392,mean_baseline
"(97.809, 97.938]",primary_37,20,100.345,97.89235384615384,mean_baseline
"(97.938, 98.022]",primary_37,20,96.265,97.98385594951924,mean_baseline
"(98.022, 98.331]",primary_37,20,89.925,98.11015,mean_baseline
"(94.386, 97.295]",primary_37,21,100.54761904761905,96.61709802858783,ridge
"(97.295, 97.632]",primary_37,20,94.51,97.50213203355875,ridge
"(97.632, 98.625]",primary_37,20,97.675,98.13265055743717,ridge
"(98.625, 104.934]",primary_37,20,98.85499999999999,99.95628096084995,ridge
"(97.512, 97.809]",primary_plus_adjusted,21,104.83809523809524,97.73566391941392,mean_baseline
"(97.809, 97.938]",primary_plus_adjusted,20,100.345,97.89235384615384,mean_baseline
"(97.938, 98.022]",primary_plus_adjusted,20,96.265,97.98385594951924,mean_baseline
"(98.022, 98.331]",primary_plus_adjusted,20,89.925,98.11015,mean_baseline
"(96.21, 97.54]",primary_plus_adjusted,21,100.44761904761906,97.0861034377299,ridge
"(97.54, 97.793]",primary_plus_adjusted,20,95.82000000000001,97.66102697530381,ridge
"(97.793, 98.354]",primary_plus_adjusted,20,97.36,98.06596687596793,ridge
"(98.354, 102.778]",primary_plus_adjusted,20,97.965,99.26494035668836,ridge
"(97.512, 97.809]",t1_week_all_available,21,104.83809523809524,97.73566391941392,mean_baseline
"(97.809, 97.938]",t1_week_all_available,20,100.345,97.89235384615384,mean_baseline
"(97.938, 98.022]",t1_week_all_available,20,96.265,97.98385594951924,mean_baseline
"(98.022, 98.331]",t1_week_all_available,20,89.925,98.11015,mean_baseline
"(94.22699999999999, 97.417]",t1_week_all_available,21,99.71904761904761,96.75217075012213,ridge
"(97.417, 97.766]",t1_week_all_available,20,98.375,97.5981521175233,ridge
"(97.766, 98.855]",t1_week_all_available,20,97.15,98.20604328934424,ridge
"(98.855, 104.261]",t1_week_all_available,20,96.385,100.09686574561758,ridge
