analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,slope_selected_ridge,81,8.884800704274003,6.977142528812104,-0.08475777854554689
repeat,2,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,slope_selected_ridge,81,8.946726395110309,6.974727389714838,-0.09993166360771921
repeat,3,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,slope_selected_ridge,81,9.769157371989738,7.51874430810685,-0.31144959523709925
repeat,4,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,slope_selected_ridge,81,9.680380911579308,7.455578754912572,-0.28772250328824134
repeat,5,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,slope_selected_ridge,81,8.74121459116997,6.941012987327395,-0.04997982893976949
repeat,6,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,slope_selected_ridge,81,8.585440579692172,6.90479121299968,-0.012890657777405723
repeat,7,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,slope_selected_ridge,81,8.748565965548995,6.941782311014493,-0.05174664074637558
repeat,8,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,slope_selected_ridge,81,9.648093403129106,7.562642248771459,-0.27914680487945565
repeat,9,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,slope_selected_ridge,81,9.602097864565648,7.4087541169389235,-0.26697967485195306
repeat,10,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,slope_selected_ridge,81,10.277056871174613,7.992067364465481,-0.4513592046197705
repeat,11,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,slope_selected_ridge,81,8.509162047666331,6.798023579058072,0.00502772163355325
repeat,12,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,slope_selected_ridge,81,8.861598665848849,7.095495554653328,-0.07909963730320246
repeat,13,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,slope_selected_ridge,81,8.92170632785849,7.201000147966377,-0.09378821363689349
repeat,14,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,slope_selected_ridge,81,9.314320489450544,7.282069533541532,-0.19217427491583527
repeat,15,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,slope_selected_ridge,81,9.467569080694238,7.56270556940529,-0.23172670445895394
repeat,16,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,slope_selected_ridge,81,8.721998282938785,7.042279268160007,-0.04536844273316176
repeat,17,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,slope_selected_ridge,81,8.861973900693384,6.991501011163422,-0.07919102586022708
repeat,18,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,slope_selected_ridge,81,9.243353217599989,7.339604616500508,-0.17407675611040285
repeat,19,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,slope_selected_ridge,81,8.672379471698472,7.086735019821245,-0.03350822547329213
repeat,20,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,slope_selected_ridge,81,8.660468182375281,6.87074757991847,-0.03067118138113334
pooled,pooled,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,slope_selected_ridge,1620,8.9948036406148,7.07790843259007,-0.11178488636157002
