source_table,feature_name,feature_family,window_class,primary_model_recommendation,n_patients,n_observed,n_missing,missing_percent
battery,charging_or_plugged_event_count,battery_context,t1_week_first_valid_24h,exclude_no_observed_data,81,0,81,100.0
battery,low_battery_event_count,battery_context,t1_week_first_valid_24h,exclude_no_observed_data,81,0,81,100.0
barometer,barometer_downward_transition_count,barometer_vertical_transition,adjusted_first_available_7d,adjusted_sensitivity,81,1,80,98.8
barometer,barometer_estimated_elevation_change_m,barometer_vertical_transition,adjusted_first_available_7d,adjusted_sensitivity,81,1,80,98.8
barometer,barometer_large_vertical_shift_count,barometer_vertical_transition,adjusted_first_available_7d,adjusted_sensitivity,81,1,80,98.8
barometer,barometer_pressure_range,barometer_vertical_context,adjusted_first_available_7d,adjusted_sensitivity,81,1,80,98.8
barometer,barometer_pressure_sd,barometer_vertical_context,adjusted_first_available_7d,adjusted_sensitivity,81,1,80,98.8
barometer,barometer_upward_transition_count,barometer_vertical_transition,adjusted_first_available_7d,adjusted_sensitivity,81,1,80,98.8
bluetooth,bluetooth_address_diversity_ratio,bluetooth_proximity_context,t1_week_first_valid_24h,coverage_sensitivity,81,1,80,98.8
bluetooth,unique_bluetooth_addresses,bluetooth_proximity_context,t1_week_first_valid_24h,coverage_sensitivity,81,1,80,98.8
locations,location_distinct_observation_count,location_data_coverage,t1_week_first_valid_24h,coverage_sensitivity,81,1,80,98.8
locations,location_total_distance_km,location_mobility_extent,t1_week_first_valid_24h,coverage_sensitivity,81,1,80,98.8
calls,call_event_count,call_communication_context,t1_week_first_valid_24h,coverage_sensitivity,81,6,75,92.6
calls,incoming_call_count,call_direction_context,t1_week_first_valid_24h,coverage_sensitivity,81,6,75,92.6
calls,missed_rejected_blocked_call_count,call_unanswered_context,t1_week_first_valid_24h,coverage_sensitivity,81,6,75,92.6
calls,outgoing_call_count,call_direction_context,t1_week_first_valid_24h,coverage_sensitivity,81,6,75,92.6
calls,total_call_duration_seconds,call_duration_context,t1_week_first_valid_24h,coverage_sensitivity,81,6,75,92.6
light,night_mean_light_lux,light_circadian_context,t1_week_first_valid_24h,coverage_sensitivity,81,9,72,88.9
keyboard,keyboard_median_word_completion_time_ms,keyboard_word_timing,t1_week_first_valid_24h,coverage_sensitivity,81,29,52,64.2
light,light_lux_iqr,light_environment_variability,t1_week_first_valid_24h,coverage_sensitivity,81,31,50,61.7
light,median_light_lux,light_environment_context,t1_week_first_valid_24h,coverage_sensitivity,81,31,50,61.7
light,percent_dark_samples,light_circadian_context,t1_week_first_valid_24h,coverage_sensitivity,81,31,50,61.7
sensor_linear_accelerometer,sensor_linear_accelerometer_active_hour_count,sensor_linear_accelerometer_metadata_coverage,adjusted_first_available_7d,adjusted_sensitivity,81,31,50,61.7
sensor_linear_accelerometer,sensor_linear_accelerometer_event_count,sensor_linear_accelerometer_metadata_coverage,adjusted_first_available_7d,adjusted_sensitivity,81,31,50,61.7
sensor_linear_accelerometer,sensor_linear_accelerometer_maximum_range,sensor_hardware_context,adjusted_first_available_7d,adjusted_sensitivity,81,31,50,61.7
sensor_linear_accelerometer,sensor_linear_accelerometer_power_ma,sensor_hardware_context,adjusted_first_available_7d,adjusted_sensitivity,81,31,50,61.7
sensor_linear_accelerometer,sensor_linear_accelerometer_resolution,sensor_hardware_context,adjusted_first_available_7d,adjusted_sensitivity,81,31,50,61.7
gsm_neighbor,gsm_neighbor_cell_transition_count,gsm_neighbor_cell_context,t1_week_first_valid_24h,coverage_sensitivity,81,39,42,51.9
gsm_neighbor,unique_gsm_neighbor_cell_count,gsm_neighbor_cell_context,t1_week_first_valid_24h,coverage_sensitivity,81,39,42,51.9
gsm_neighbor,unique_gsm_neighbor_lac_count,gsm_neighbor_cell_context,t1_week_first_valid_24h,coverage_sensitivity,81,39,42,51.9
significant,significant_active_hour_count,significant_temporal_spread,adjusted_first_available_7d,adjusted_sensitivity,81,48,33,40.7
significant,significant_motion_transition_count,significant_motion_variability,adjusted_first_available_7d,adjusted_sensitivity,81,48,33,40.7
significant,significant_moving_event_count,significant_motion_context,adjusted_first_available_7d,adjusted_sensitivity,81,48,33,40.7
significant,significant_moving_fraction,significant_motion_context,adjusted_first_available_7d,adjusted_sensitivity,81,48,33,40.7
keyboard,keyboard_deletion_event_count,keyboard_correction_behavior,t1_week_first_valid_24h,include_primary,81,52,29,35.8
keyboard,keyboard_inter_event_interval_iqr_ms,keyboard_typing_dynamics,t1_week_first_valid_24h,include_primary,81,52,29,35.8
keyboard,keyboard_long_pause_count_2s,keyboard_typing_pause,t1_week_first_valid_24h,include_primary,81,52,29,35.8
keyboard,keyboard_median_inter_event_interval_ms,keyboard_typing_dynamics,t1_week_first_valid_24h,include_primary,81,52,29,35.8
keyboard,keyboard_typing_burst_count,keyboard_typing_burst,t1_week_first_valid_24h,include_primary,81,52,29,35.8
messages,message_distinct_event_count,message_communication_context,t1_week_first_valid_24h,include_primary,81,54,27,33.3
messages,outgoing_message_count,message_communication_context,t1_week_first_valid_24h,include_primary,81,54,27,33.3
touch,touch_scroll_direction_change_count,touch_interaction_variability,t1_week_first_valid_24h,include_primary,81,57,24,29.6
touch,touch_scroll_index_change_median,touch_scroll_intensity,t1_week_first_valid_24h,include_primary,81,57,24,29.6
screen,median_unlocked_session_duration_seconds,screen_session_duration,t1_week_first_valid_24h,include_primary,81,60,21,25.9
touch,touch_active_hour_count,touch_temporal_spread,t1_week_first_valid_24h,include_primary,81,61,20,24.7
touch,touch_app_diversity,touch_app_context,t1_week_first_valid_24h,include_primary,81,61,20,24.7
touch,touch_click_event_count,touch_action_profile,t1_week_first_valid_24h,include_primary,81,61,20,24.7
touch,touch_distinct_event_count,touch_interaction_volume,t1_week_first_valid_24h,include_primary,81,61,20,24.7
touch,touch_scroll_event_count,touch_action_profile,t1_week_first_valid_24h,include_primary,81,61,20,24.7
touch,touch_unique_app_count,touch_app_context,t1_week_first_valid_24h,include_primary,81,61,20,24.7
applications_foreground,app_foreground_event_count,app_use_intensity,t1_week_first_valid_24h,include_primary,81,63,18,22.2
applications_foreground,app_use_diversity,app_use_breadth,t1_week_first_valid_24h,include_primary,81,63,18,22.2
applications_foreground,unique_foreground_apps,app_use_breadth,t1_week_first_valid_24h,include_primary,81,63,18,22.2
gsm,gsm_cell_transition_count,gsm_cell_context,t1_week_first_valid_24h,include_primary,81,67,14,17.3
gsm,unique_gsm_cell_count,gsm_cell_context,t1_week_first_valid_24h,include_primary,81,67,14,17.3
gsm,unique_gsm_lac_count,gsm_cell_context,t1_week_first_valid_24h,include_primary,81,67,14,17.3
plugin_google_activity_recognition,activity_active_hour_count,activity_context_temporal_spread,t1_week_first_valid_24h,include_primary,81,67,14,17.3
plugin_google_activity_recognition,activity_state_diversity,activity_context_breadth,t1_week_first_valid_24h,include_primary,81,67,14,17.3
plugin_google_activity_recognition,activity_still_fraction,activity_context_state,t1_week_first_valid_24h,include_primary,81,67,14,17.3
plugin_google_activity_recognition,activity_transition_count,activity_context_variability,t1_week_first_valid_24h,include_primary,81,67,14,17.3
plugin_google_activity_recognition,activity_unknown_fraction,activity_context_quality,t1_week_first_valid_24h,include_primary,81,67,14,17.3
telephony,telephony_event_count,telephony_connectivity_context,t1_week_first_valid_24h,include_primary,81,67,14,17.3
telephony,telephony_mobile_data_enabled_fraction,telephony_connectivity_context,t1_week_first_valid_24h,include_primary,81,67,14,17.3
telephony,telephony_network_type_diversity,telephony_network_context,t1_week_first_valid_24h,include_primary,81,67,14,17.3
screen,night_screen_event_count,screen_nighttime_context,t1_week_first_valid_24h,include_primary,81,68,13,16.0
screen,screen_active_hour_count,screen_temporal_spread,t1_week_first_valid_24h,include_primary,81,68,13,16.0
screen,screen_event_count,screen_interaction_context,t1_week_first_valid_24h,include_primary,81,68,13,16.0
screen,screen_off_event_count,screen_interaction_context,t1_week_first_valid_24h,include_primary,81,68,13,16.0
screen,screen_on_event_count,screen_interaction_context,t1_week_first_valid_24h,include_primary,81,68,13,16.0
screen,screen_transition_count,screen_interaction_variability,t1_week_first_valid_24h,include_primary,81,68,13,16.0
screen,screen_unlock_event_count,screen_interaction_context,t1_week_first_valid_24h,include_primary,81,68,13,16.0
