source_table,feature_name,primary_model_recommendation_t1,observed_patients_t2,t2_coverage_percent,t2_missingness_percent,t2_analysis_role
barometer,barometer_downward_transition_count,adjusted_sensitivity,0,0.0,100.0,sensitivity_only_below_10pct
barometer,barometer_estimated_elevation_change_m,adjusted_sensitivity,0,0.0,100.0,sensitivity_only_below_10pct
barometer,barometer_large_vertical_shift_count,adjusted_sensitivity,0,0.0,100.0,sensitivity_only_below_10pct
barometer,barometer_pressure_range,adjusted_sensitivity,0,0.0,100.0,sensitivity_only_below_10pct
barometer,barometer_pressure_sd,adjusted_sensitivity,0,0.0,100.0,sensitivity_only_below_10pct
barometer,barometer_upward_transition_count,adjusted_sensitivity,0,0.0,100.0,sensitivity_only_below_10pct
touch,touch_scroll_direction_change_count,include_primary,0,0.0,100.0,sensitivity_only_below_10pct
touch,touch_scroll_index_change_median,include_primary,0,0.0,100.0,sensitivity_only_below_10pct
touch,touch_active_hour_count,include_primary,1,1.64,98.36,sensitivity_only_below_10pct
touch,touch_app_diversity,include_primary,1,1.64,98.36,sensitivity_only_below_10pct
touch,touch_click_event_count,include_primary,1,1.64,98.36,sensitivity_only_below_10pct
touch,touch_distinct_event_count,include_primary,1,1.64,98.36,sensitivity_only_below_10pct
touch,touch_scroll_event_count,include_primary,1,1.64,98.36,sensitivity_only_below_10pct
touch,touch_unique_app_count,include_primary,1,1.64,98.36,sensitivity_only_below_10pct
gsm_neighbor,unique_gsm_neighbor_lac_count,coverage_sensitivity,1,1.64,98.36,sensitivity_only_below_10pct
battery,charging_or_plugged_event_count,exclude_no_observed_data,3,4.92,95.08,sensitivity_only_below_10pct
battery,low_battery_event_count,exclude_no_observed_data,3,4.92,95.08,sensitivity_only_below_10pct
bluetooth,bluetooth_address_diversity_ratio,coverage_sensitivity,4,6.56,93.44,sensitivity_only_below_10pct
bluetooth,unique_bluetooth_addresses,coverage_sensitivity,4,6.56,93.44,sensitivity_only_below_10pct
