source_table,feature_name,primary_model_recommendation_t1,observed_patients_t2,t2_coverage_percent,t2_missingness_percent,t2_analysis_role
screen,median_unlocked_session_duration_seconds,include_primary,8,13.11,86.89,primary_eligible_10pct
messages,message_distinct_event_count,include_primary,9,14.75,85.25,primary_eligible_10pct
messages,outgoing_message_count,include_primary,9,14.75,85.25,primary_eligible_10pct
plugin_google_activity_recognition,activity_active_hour_count,include_primary,11,18.03,81.97,primary_eligible_10pct
plugin_google_activity_recognition,activity_state_diversity,include_primary,11,18.03,81.97,primary_eligible_10pct
plugin_google_activity_recognition,activity_still_fraction,include_primary,11,18.03,81.97,primary_eligible_10pct
plugin_google_activity_recognition,activity_transition_count,include_primary,11,18.03,81.97,primary_eligible_10pct
plugin_google_activity_recognition,activity_unknown_fraction,include_primary,11,18.03,81.97,primary_eligible_10pct
keyboard,keyboard_inter_event_interval_iqr_ms,include_primary,19,31.15,68.85,primary_eligible_10pct
keyboard,keyboard_long_pause_count_2s,include_primary,19,31.15,68.85,primary_eligible_10pct
keyboard,keyboard_median_inter_event_interval_ms,include_primary,19,31.15,68.85,primary_eligible_10pct
keyboard,keyboard_deletion_event_count,include_primary,20,32.79,67.21,primary_eligible_10pct
keyboard,keyboard_typing_burst_count,include_primary,20,32.79,67.21,primary_eligible_10pct
applications_foreground,app_foreground_event_count,include_primary,22,36.07,63.93,primary_eligible_10pct
applications_foreground,app_use_diversity,include_primary,22,36.07,63.93,primary_eligible_10pct
gsm,gsm_cell_transition_count,include_primary,22,36.07,63.93,primary_eligible_10pct
telephony,telephony_event_count,include_primary,22,36.07,63.93,primary_eligible_10pct
telephony,telephony_mobile_data_enabled_fraction,include_primary,22,36.07,63.93,primary_eligible_10pct
telephony,telephony_network_type_diversity,include_primary,22,36.07,63.93,primary_eligible_10pct
applications_foreground,unique_foreground_apps,include_primary,22,36.07,63.93,primary_eligible_10pct
gsm,unique_gsm_cell_count,include_primary,22,36.07,63.93,primary_eligible_10pct
gsm,unique_gsm_lac_count,include_primary,22,36.07,63.93,primary_eligible_10pct
screen,night_screen_event_count,include_primary,24,39.34,60.66,primary_eligible_10pct
screen,screen_active_hour_count,include_primary,24,39.34,60.66,primary_eligible_10pct
screen,screen_event_count,include_primary,24,39.34,60.66,primary_eligible_10pct
screen,screen_off_event_count,include_primary,24,39.34,60.66,primary_eligible_10pct
screen,screen_on_event_count,include_primary,24,39.34,60.66,primary_eligible_10pct
screen,screen_transition_count,include_primary,24,39.34,60.66,primary_eligible_10pct
screen,screen_unlock_event_count,include_primary,24,39.34,60.66,primary_eligible_10pct
calls,call_event_count,coverage_sensitivity,9,14.75,85.25,support_eligible_10pct
calls,incoming_call_count,coverage_sensitivity,9,14.75,85.25,support_eligible_10pct
calls,missed_rejected_blocked_call_count,coverage_sensitivity,9,14.75,85.25,support_eligible_10pct
calls,outgoing_call_count,coverage_sensitivity,9,14.75,85.25,support_eligible_10pct
calls,total_call_duration_seconds,coverage_sensitivity,9,14.75,85.25,support_eligible_10pct
sensor_linear_accelerometer,sensor_linear_accelerometer_active_hour_count,adjusted_sensitivity,16,26.23,73.77,support_eligible_10pct
sensor_linear_accelerometer,sensor_linear_accelerometer_event_count,adjusted_sensitivity,16,26.23,73.77,support_eligible_10pct
sensor_linear_accelerometer,sensor_linear_accelerometer_maximum_range,adjusted_sensitivity,16,26.23,73.77,support_eligible_10pct
sensor_linear_accelerometer,sensor_linear_accelerometer_power_ma,adjusted_sensitivity,16,26.23,73.77,support_eligible_10pct
sensor_linear_accelerometer,sensor_linear_accelerometer_resolution,adjusted_sensitivity,16,26.23,73.77,support_eligible_10pct
keyboard,keyboard_median_word_completion_time_ms,coverage_sensitivity,17,27.87,72.13,support_eligible_10pct
gsm_neighbor,gsm_neighbor_cell_transition_count,coverage_sensitivity,20,32.79,67.21,support_eligible_10pct
gsm_neighbor,unique_gsm_neighbor_cell_count,coverage_sensitivity,20,32.79,67.21,support_eligible_10pct
locations,location_total_distance_km,coverage_sensitivity,22,36.07,63.93,support_eligible_10pct
locations,location_distinct_observation_count,coverage_sensitivity,23,37.7,62.3,support_eligible_10pct
significant,significant_active_hour_count,adjusted_sensitivity,23,37.7,62.3,support_eligible_10pct
significant,significant_motion_transition_count,adjusted_sensitivity,23,37.7,62.3,support_eligible_10pct
significant,significant_moving_event_count,adjusted_sensitivity,23,37.7,62.3,support_eligible_10pct
significant,significant_moving_fraction,adjusted_sensitivity,23,37.7,62.3,support_eligible_10pct
