feature_name,t1_feature_column,t2_feature_column,t2_coverage_percent,t2_analysis_role,input_scale,model_set
sensor_linear_accelerometer_active_hour_count,sensor_linear_accelerometer_active_hour_count,sensor_linear_accelerometer_active_hour_count_T2dataset,26.23,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
sensor_linear_accelerometer_event_count,sensor_linear_accelerometer_event_count,sensor_linear_accelerometer_event_count_T2dataset,26.23,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
sensor_linear_accelerometer_maximum_range,sensor_linear_accelerometer_maximum_range,sensor_linear_accelerometer_maximum_range_T2dataset,26.23,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
sensor_linear_accelerometer_power_ma,sensor_linear_accelerometer_power_ma,sensor_linear_accelerometer_power_ma_T2dataset,26.23,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
sensor_linear_accelerometer_resolution,sensor_linear_accelerometer_resolution,sensor_linear_accelerometer_resolution_T2dataset,26.23,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
significant_active_hour_count,significant_active_hour_count,significant_active_hour_count_T2dataset,37.7,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
significant_motion_transition_count,significant_motion_transition_count,significant_motion_transition_count_T2dataset,37.7,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
significant_moving_event_count,significant_moving_event_count,significant_moving_event_count_T2dataset,37.7,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
significant_moving_fraction,significant_moving_fraction,significant_moving_fraction_T2dataset,37.7,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
app_foreground_event_count,app_foreground_event_count,app_foreground_event_count_T2dataset,36.07,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
app_use_diversity,app_use_diversity,app_use_diversity_T2dataset,36.07,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
unique_foreground_apps,unique_foreground_apps,unique_foreground_apps_T2dataset,36.07,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
call_event_count,call_event_count,call_event_count_T2dataset,14.75,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
incoming_call_count,incoming_call_count,incoming_call_count_T2dataset,14.75,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
missed_rejected_blocked_call_count,missed_rejected_blocked_call_count,missed_rejected_blocked_call_count_T2dataset,14.75,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
outgoing_call_count,outgoing_call_count,outgoing_call_count_T2dataset,14.75,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
total_call_duration_seconds,total_call_duration_seconds,total_call_duration_seconds_T2dataset,14.75,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
gsm_cell_transition_count,gsm_cell_transition_count,gsm_cell_transition_count_T2dataset,36.07,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
unique_gsm_cell_count,unique_gsm_cell_count,unique_gsm_cell_count_T2dataset,36.07,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
unique_gsm_lac_count,unique_gsm_lac_count,unique_gsm_lac_count_T2dataset,36.07,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
gsm_neighbor_cell_transition_count,gsm_neighbor_cell_transition_count,gsm_neighbor_cell_transition_count_T2dataset,32.79,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
unique_gsm_neighbor_cell_count,unique_gsm_neighbor_cell_count,unique_gsm_neighbor_cell_count_T2dataset,32.79,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
keyboard_deletion_event_count,keyboard_deletion_event_count,keyboard_deletion_event_count_T2dataset,32.79,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
keyboard_inter_event_interval_iqr_ms,keyboard_inter_event_interval_iqr_ms,keyboard_inter_event_interval_iqr_ms_T2dataset,31.15,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
keyboard_long_pause_count_2s,keyboard_long_pause_count_2s,keyboard_long_pause_count_2s_T2dataset,31.15,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
keyboard_median_inter_event_interval_ms,keyboard_median_inter_event_interval_ms,keyboard_median_inter_event_interval_ms_T2dataset,31.15,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
keyboard_median_word_completion_time_ms,keyboard_median_word_completion_time_ms,keyboard_median_word_completion_time_ms_T2dataset,27.87,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
keyboard_typing_burst_count,keyboard_typing_burst_count,keyboard_typing_burst_count_T2dataset,32.79,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
location_distinct_observation_count,location_distinct_observation_count,location_distinct_observation_count_T2dataset,37.7,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
location_total_distance_km,location_total_distance_km,location_total_distance_km_T2dataset,37.7,support_eligible_10pct,independent_T2_feature_level,working_10pct_support
message_distinct_event_count,message_distinct_event_count,message_distinct_event_count_T2dataset,14.75,primary_eligible_10pct,independent_T2_feature_level,t1_primary_10pct
