analysis_scope,repeat,outcome,model,n_predictions,rmse,mae,r2
repeat,1,Global,mean_baseline_T2,61,8.211195276870416,6.423446386751422,-0.04480080330581382
repeat,1,Global,t1_primary_10pct_independent_t2_ridge,61,8.274992587946032,6.478908671418127,-0.061099142641364956
repeat,2,Global,mean_baseline_T2,61,8.164709069686594,6.470303613248575,-0.03300438557824825
repeat,2,Global,t1_primary_10pct_independent_t2_ridge,61,8.196164090587443,6.485675809007535,-0.040979137695483336
repeat,3,Global,mean_baseline_T2,61,8.19469613988663,6.393618266978924,-0.04060628786127474
repeat,3,Global,t1_primary_10pct_independent_t2_ridge,61,8.22191031476206,6.4203484574865195,-0.04752936698475407
repeat,4,Global,mean_baseline_T2,61,8.1647512870038,6.363903061224489,-0.03301506833159462
repeat,4,Global,t1_primary_10pct_independent_t2_ridge,61,8.167157521577401,6.360579556056408,-0.033624037977347365
repeat,5,Global,mean_baseline_T2,61,8.086309933032759,6.2960793743727015,-0.013261409692950643
repeat,5,Global,t1_primary_10pct_independent_t2_ridge,61,8.113163392370176,6.311065583401869,-0.020002371592342305
pooled,pooled,Global,mean_baseline_T2,305,8.164445098159321,6.389470140515222,-0.032937590953976414
pooled,pooled,Global,t1_primary_10pct_independent_t2_ridge,305,8.194855698155294,6.411315615474092,-0.04064681137825832
repeat,1,Global,working_10pct_independent_t2_ridge,61,8.274727118292653,6.4764121272479525,-0.061031061588682656
repeat,2,Global,working_10pct_independent_t2_ridge,61,8.221884087143978,6.506210392541315,-0.04752268382833558
repeat,3,Global,working_10pct_independent_t2_ridge,61,8.228377578701473,6.416093924581296,-0.049177965199319384
repeat,4,Global,working_10pct_independent_t2_ridge,61,8.173329593789223,6.363032834622094,-0.0351868859516109
repeat,5,Global,working_10pct_independent_t2_ridge,61,8.123062800339667,6.3116637832805695,-0.02249303506916478
pooled,pooled,Global,working_10pct_independent_t2_ridge,305,8.204439655568066,6.414682612454645,-0.043082326327422926
repeat,1,Memory,mean_baseline_T2,61,12.304841566732858,10.222710354633657,-0.02957122363204534
repeat,1,Memory,Memory_domain_independent_t2_ridge,61,12.330834469571014,10.245562419634464,-0.033925576404203905
repeat,2,Memory,mean_baseline_T2,61,12.248237483937173,10.123791401806622,-0.02012065233762006
repeat,2,Memory,Memory_domain_independent_t2_ridge,61,12.256431021366527,10.135176346286892,-0.02148594141860749
repeat,3,Memory,mean_baseline_T2,61,12.25600329329425,10.155145951823352,-0.021414646506087376
repeat,3,Memory,Memory_domain_independent_t2_ridge,61,12.261229134718953,10.164402133506108,-0.022285874887228108
repeat,4,Memory,mean_baseline_T2,61,12.493561179026837,10.29346841195494,-0.061394514461965644
repeat,4,Memory,Memory_domain_independent_t2_ridge,61,12.497016630809332,10.299916451315918,-0.061981713692654594
repeat,5,Memory,mean_baseline_T2,61,12.202149340111859,10.081641714062673,-0.012457996940520966
repeat,5,Memory,Memory_domain_independent_t2_ridge,61,12.268511432405,10.135208751439905,-0.023500565642575078
pooled,pooled,Memory,mean_baseline_T2,305,12.30137865137919,10.17535156685625,-0.028991806775648055
pooled,pooled,Memory,Memory_domain_independent_t2_ridge,305,12.323141786324902,10.196053220436657,-0.03263593440905388
repeat,1,Executive function,mean_baseline_T2,61,10.612185308108025,8.262092951934871,-0.036627405591331375
repeat,1,Executive function,Executive function_domain_independent_t2_ridge,61,10.789463965397331,8.480431723090984,-0.07155082283418812
repeat,2,Executive function,mean_baseline_T2,61,10.744471078005196,8.327171852347494,-0.06263255933973788
repeat,2,Executive function,Executive function_domain_independent_t2_ridge,61,11.142887145699465,8.686232267816466,-0.1429007044245958
repeat,3,Executive function,mean_baseline_T2,61,10.435198554844805,8.135974963755993,-0.002338634481075186
repeat,3,Executive function,Executive function_domain_independent_t2_ridge,61,10.602341133811526,8.32275389990249,-0.034705085643726985
repeat,4,Executive function,mean_baseline_T2,61,10.70113962846432,8.352463198394112,-0.05407884638874827
repeat,4,Executive function,Executive function_domain_independent_t2_ridge,61,10.696899978410617,8.342060646889562,-0.053243787632720974
repeat,5,Executive function,mean_baseline_T2,61,10.501697334102436,8.158069170291068,-0.015154236218859696
repeat,5,Executive function,Executive function_domain_independent_t2_ridge,61,10.505329263003652,8.159959118899721,-0.015856523753293272
pooled,pooled,Executive function,mean_baseline_T2,305,10.599580566076497,8.247154427344709,-0.034166336403950615
pooled,pooled,Executive function,Executive function_domain_independent_t2_ridge,305,10.749620609048076,8.398287531319847,-0.06365138485770516
repeat,1,Processing speed,mean_baseline_T2,56,15.871798272153741,12.455674603174602,-0.048888602131847536
repeat,1,Processing speed,Processing speed_domain_independent_t2_ridge,56,16.009204850764185,12.736777374981221,-0.06712825630678254
repeat,2,Processing speed,mean_baseline_T2,56,15.635458792295424,12.307781385281386,-0.01788415669084875
repeat,2,Processing speed,Processing speed_domain_independent_t2_ridge,56,15.524972820590817,12.205787785352399,-0.003549486665605839
repeat,3,Processing speed,mean_baseline_T2,56,15.540389673810315,12.291724386724386,-0.005543597344833895
repeat,3,Processing speed,Processing speed_domain_independent_t2_ridge,56,16.118459112962164,12.701451407916258,-0.08174311542566293
repeat,4,Processing speed,mean_baseline_T2,56,15.699693899830098,12.401650432900434,-0.02626487738064265
repeat,4,Processing speed,Processing speed_domain_independent_t2_ridge,56,16.019494013962962,12.450869654709996,-0.06850039006092312
repeat,5,Processing speed,mean_baseline_T2,56,15.821363654886952,12.4065873015873,-0.04223324454001931
repeat,5,Processing speed,Processing speed_domain_independent_t2_ridge,56,15.917523292823446,12.314262128612212,-0.05494078812347247
pooled,pooled,Processing speed,mean_baseline_T2,280,15.714205036844348,12.372683621933621,-0.028162895617638517
pooled,pooled,Processing speed,Processing speed_domain_independent_t2_ridge,280,15.919270595420008,12.481829670314417,-0.055172407316489425
repeat,1,Attention,mean_baseline_T2,61,10.205484784502696,7.846356083416973,-0.007959220359274433
repeat,1,Attention,Attention_domain_independent_t2_ridge,61,10.28530608275302,7.899973687563256,-0.023788209850299724
repeat,2,Attention,mean_baseline_T2,61,10.179985581835789,7.830014915802387,-0.0029285829016745257
repeat,2,Attention,Attention_domain_independent_t2_ridge,61,10.407782809407538,8.048103090964386,-0.04831578285223581
repeat,3,Attention,mean_baseline_T2,61,10.365615099128053,7.979966125794582,-0.039838371791782956
repeat,3,Attention,Attention_domain_independent_t2_ridge,61,11.44767038517571,8.529514246079316,-0.26826473064910483
repeat,4,Attention,mean_baseline_T2,61,10.317779313740832,7.904037721646037,-0.030263115542022545
repeat,4,Attention,Attention_domain_independent_t2_ridge,61,10.321825753226928,7.908666111691412,-0.03107137373531632
repeat,5,Attention,mean_baseline_T2,61,10.302488557641537,7.981781114084978,-0.027211716914196993
repeat,5,Attention,Attention_domain_independent_t2_ridge,61,10.31168908771139,7.9881888782110915,-0.029047217579326823
pooled,pooled,Attention,mean_baseline_T2,305,10.274510625463046,7.908431192148991,-0.021640201501790468
pooled,pooled,Attention,Attention_domain_independent_t2_ridge,305,10.564370688242146,8.074889202901891,-0.0800974629332567
repeat,1,Motor,mean_baseline_T2,59,8.560422796992398,6.512212255078732,-0.016113495857334348
repeat,1,Motor,Motor_domain_independent_t2_ridge,59,10.412502610609366,7.576747116759399,-0.5033566965228
repeat,2,Motor,mean_baseline_T2,59,8.96404137699219,6.850866239932682,-0.11419061211617576
repeat,2,Motor,Motor_domain_independent_t2_ridge,59,8.95588644581096,6.919625016212713,-0.11216429064472977
repeat,3,Motor,mean_baseline_T2,59,8.804846641526884,6.767048323115755,-0.07496761808398977
repeat,3,Motor,Motor_domain_independent_t2_ridge,59,8.81019150202656,6.7648655500676815,-0.07627310268202625
repeat,4,Motor,mean_baseline_T2,59,8.687976160306635,6.567774822695037,-0.04662000352971396
repeat,4,Motor,Motor_domain_independent_t2_ridge,59,8.753481652426137,6.586876857260667,-0.06246208656783736
repeat,5,Motor,mean_baseline_T2,59,8.595747514437237,6.462146892655367,-0.024516814571659218
repeat,5,Motor,Motor_domain_independent_t2_ridge,59,8.906911519865327,6.54179428906064,-0.10003389226223747
pooled,pooled,Motor,mean_baseline_T2,295,8.723852425924143,6.632009706695515,-0.055281708831774745
pooled,pooled,Motor,Motor_domain_independent_t2_ridge,295,9.189168632805243,6.87798176587222,-0.17085801373592613
pooled,pooled,Global,mean_change_baseline,61,5.73768899295214,4.269389948938458,0.0
pooled,pooled,Global,independent_digital_decline,61,6.226615774947151,4.668176121241779,-0.17768766762804722
pooled,pooled,Memory,mean_change_baseline,61,10.692060412852022,7.894436979306638,0.0
pooled,pooled,Memory,independent_digital_decline,61,10.967651500577151,8.18163206910277,-0.05221497049666679
pooled,pooled,Executive function,mean_change_baseline,61,9.661930436415362,7.545498521902713,0.0
pooled,pooled,Executive function,independent_digital_decline,61,10.618728942018855,8.467439679474035,-0.20786183006864212
pooled,pooled,Processing speed,mean_change_baseline,51,12.00616271332386,8.106113033448674,0.0
pooled,pooled,Processing speed,independent_digital_decline,51,13.706692846736571,9.223472369431876,-0.3033375624791199
pooled,pooled,Attention,mean_change_baseline,61,7.794483609449292,5.82209083579683,0.0
pooled,pooled,Attention,independent_digital_decline,61,8.601599576983855,6.58922458734244,-0.21782180675207208
pooled,pooled,Motor,mean_change_baseline,57,7.88427415866076,5.757217605417053,0.0
pooled,pooled,Motor,independent_digital_decline,57,8.274759582588736,6.303710139323224,-0.10150718401756564
