feature_name,source_table,t2_coverage_percent,t2_missingness_percent,t2_analysis_role
barometer_downward_transition_count,barometer,0.0,100.0,sensitivity_only_below_10pct
barometer_estimated_elevation_change_m,barometer,0.0,100.0,sensitivity_only_below_10pct
barometer_large_vertical_shift_count,barometer,0.0,100.0,sensitivity_only_below_10pct
barometer_pressure_range,barometer,0.0,100.0,sensitivity_only_below_10pct
barometer_pressure_sd,barometer,0.0,100.0,sensitivity_only_below_10pct
barometer_upward_transition_count,barometer,0.0,100.0,sensitivity_only_below_10pct
sensor_linear_accelerometer_active_hour_count,sensor_linear_accelerometer,26.23,73.77,support_eligible_10pct
sensor_linear_accelerometer_event_count,sensor_linear_accelerometer,26.23,73.77,support_eligible_10pct
sensor_linear_accelerometer_maximum_range,sensor_linear_accelerometer,26.23,73.77,support_eligible_10pct
sensor_linear_accelerometer_power_ma,sensor_linear_accelerometer,26.23,73.77,support_eligible_10pct
sensor_linear_accelerometer_resolution,sensor_linear_accelerometer,26.23,73.77,support_eligible_10pct
significant_active_hour_count,significant,37.7,62.3,support_eligible_10pct
significant_motion_transition_count,significant,37.7,62.3,support_eligible_10pct
significant_moving_event_count,significant,37.7,62.3,support_eligible_10pct
significant_moving_fraction,significant,37.7,62.3,support_eligible_10pct
app_foreground_event_count,applications_foreground,36.07,63.93,primary_eligible_10pct
app_use_diversity,applications_foreground,36.07,63.93,primary_eligible_10pct
unique_foreground_apps,applications_foreground,36.07,63.93,primary_eligible_10pct
charging_or_plugged_event_count,battery,4.92,95.08,sensitivity_only_below_10pct
low_battery_event_count,battery,4.92,95.08,sensitivity_only_below_10pct
bluetooth_address_diversity_ratio,bluetooth,6.56,93.44,sensitivity_only_below_10pct
unique_bluetooth_addresses,bluetooth,6.56,93.44,sensitivity_only_below_10pct
call_event_count,calls,14.75,85.25,support_eligible_10pct
incoming_call_count,calls,14.75,85.25,support_eligible_10pct
missed_rejected_blocked_call_count,calls,14.75,85.25,support_eligible_10pct
outgoing_call_count,calls,14.75,85.25,support_eligible_10pct
total_call_duration_seconds,calls,14.75,85.25,support_eligible_10pct
gsm_cell_transition_count,gsm,36.07,63.93,primary_eligible_10pct
unique_gsm_cell_count,gsm,36.07,63.93,primary_eligible_10pct
unique_gsm_lac_count,gsm,36.07,63.93,primary_eligible_10pct
gsm_neighbor_cell_transition_count,gsm_neighbor,32.79,67.21,support_eligible_10pct
unique_gsm_neighbor_cell_count,gsm_neighbor,32.79,67.21,support_eligible_10pct
unique_gsm_neighbor_lac_count,gsm_neighbor,1.64,98.36,sensitivity_only_below_10pct
keyboard_deletion_event_count,keyboard,32.79,67.21,primary_eligible_10pct
keyboard_inter_event_interval_iqr_ms,keyboard,31.15,68.85,primary_eligible_10pct
keyboard_long_pause_count_2s,keyboard,31.15,68.85,primary_eligible_10pct
keyboard_median_inter_event_interval_ms,keyboard,31.15,68.85,primary_eligible_10pct
keyboard_median_word_completion_time_ms,keyboard,27.87,72.13,support_eligible_10pct
keyboard_typing_burst_count,keyboard,32.79,67.21,primary_eligible_10pct
location_distinct_observation_count,locations,37.7,62.3,support_eligible_10pct
location_total_distance_km,locations,37.7,62.3,support_eligible_10pct
message_distinct_event_count,messages,14.75,85.25,primary_eligible_10pct
outgoing_message_count,messages,14.75,85.25,primary_eligible_10pct
activity_active_hour_count,plugin_google_activity_recognition,18.03,81.97,primary_eligible_10pct
activity_state_diversity,plugin_google_activity_recognition,18.03,81.97,primary_eligible_10pct
activity_still_fraction,plugin_google_activity_recognition,18.03,81.97,primary_eligible_10pct
activity_transition_count,plugin_google_activity_recognition,18.03,81.97,primary_eligible_10pct
activity_unknown_fraction,plugin_google_activity_recognition,18.03,81.97,primary_eligible_10pct
median_unlocked_session_duration_seconds,screen,24.59,75.41,primary_eligible_10pct
night_screen_event_count,screen,39.34,60.66,primary_eligible_10pct
screen_active_hour_count,screen,39.34,60.66,primary_eligible_10pct
screen_event_count,screen,39.34,60.66,primary_eligible_10pct
screen_off_event_count,screen,39.34,60.66,primary_eligible_10pct
screen_on_event_count,screen,39.34,60.66,primary_eligible_10pct
screen_transition_count,screen,39.34,60.66,primary_eligible_10pct
screen_unlock_event_count,screen,39.34,60.66,primary_eligible_10pct
telephony_event_count,telephony,36.07,63.93,primary_eligible_10pct
telephony_mobile_data_enabled_fraction,telephony,36.07,63.93,primary_eligible_10pct
telephony_network_type_diversity,telephony,36.07,63.93,primary_eligible_10pct
touch_active_hour_count,touch,1.64,98.36,sensitivity_only_below_10pct
touch_app_diversity,touch,1.64,98.36,sensitivity_only_below_10pct
touch_click_event_count,touch,1.64,98.36,sensitivity_only_below_10pct
touch_distinct_event_count,touch,1.64,98.36,sensitivity_only_below_10pct
touch_scroll_direction_change_count,touch,1.64,98.36,sensitivity_only_below_10pct
touch_scroll_event_count,touch,1.64,98.36,sensitivity_only_below_10pct
touch_scroll_index_change_median,touch,1.64,98.36,sensitivity_only_below_10pct
touch_unique_app_count,touch,1.64,98.36,sensitivity_only_below_10pct
