feature_name,delta_column,t2_coverage_percent,t2_analysis_role,model_set
median_unlocked_session_duration_seconds,delta__median_unlocked_session_duration_seconds,13.11,primary_eligible_10pct,t1_primary_10pct
message_distinct_event_count,delta__message_distinct_event_count,14.75,primary_eligible_10pct,t1_primary_10pct
outgoing_message_count,delta__outgoing_message_count,14.75,primary_eligible_10pct,t1_primary_10pct
activity_active_hour_count,delta__activity_active_hour_count,18.03,primary_eligible_10pct,t1_primary_10pct
activity_state_diversity,delta__activity_state_diversity,18.03,primary_eligible_10pct,t1_primary_10pct
activity_still_fraction,delta__activity_still_fraction,18.03,primary_eligible_10pct,t1_primary_10pct
activity_transition_count,delta__activity_transition_count,18.03,primary_eligible_10pct,t1_primary_10pct
activity_unknown_fraction,delta__activity_unknown_fraction,18.03,primary_eligible_10pct,t1_primary_10pct
keyboard_inter_event_interval_iqr_ms,delta__keyboard_inter_event_interval_iqr_ms,31.15,primary_eligible_10pct,t1_primary_10pct
keyboard_long_pause_count_2s,delta__keyboard_long_pause_count_2s,31.15,primary_eligible_10pct,t1_primary_10pct
keyboard_median_inter_event_interval_ms,delta__keyboard_median_inter_event_interval_ms,31.15,primary_eligible_10pct,t1_primary_10pct
keyboard_deletion_event_count,delta__keyboard_deletion_event_count,32.79,primary_eligible_10pct,t1_primary_10pct
keyboard_typing_burst_count,delta__keyboard_typing_burst_count,32.79,primary_eligible_10pct,t1_primary_10pct
app_foreground_event_count,delta__app_foreground_event_count,36.07,primary_eligible_10pct,t1_primary_10pct
app_use_diversity,delta__app_use_diversity,36.07,primary_eligible_10pct,t1_primary_10pct
gsm_cell_transition_count,delta__gsm_cell_transition_count,36.07,primary_eligible_10pct,t1_primary_10pct
telephony_event_count,delta__telephony_event_count,36.07,primary_eligible_10pct,t1_primary_10pct
telephony_mobile_data_enabled_fraction,delta__telephony_mobile_data_enabled_fraction,36.07,primary_eligible_10pct,t1_primary_10pct
telephony_network_type_diversity,delta__telephony_network_type_diversity,36.07,primary_eligible_10pct,t1_primary_10pct
unique_foreground_apps,delta__unique_foreground_apps,36.07,primary_eligible_10pct,t1_primary_10pct
unique_gsm_cell_count,delta__unique_gsm_cell_count,36.07,primary_eligible_10pct,t1_primary_10pct
unique_gsm_lac_count,delta__unique_gsm_lac_count,36.07,primary_eligible_10pct,t1_primary_10pct
night_screen_event_count,delta__night_screen_event_count,39.34,primary_eligible_10pct,t1_primary_10pct
screen_active_hour_count,delta__screen_active_hour_count,39.34,primary_eligible_10pct,t1_primary_10pct
screen_event_count,delta__screen_event_count,39.34,primary_eligible_10pct,t1_primary_10pct
screen_off_event_count,delta__screen_off_event_count,39.34,primary_eligible_10pct,t1_primary_10pct
screen_on_event_count,delta__screen_on_event_count,39.34,primary_eligible_10pct,t1_primary_10pct
screen_transition_count,delta__screen_transition_count,39.34,primary_eligible_10pct,t1_primary_10pct
screen_unlock_event_count,delta__screen_unlock_event_count,39.34,primary_eligible_10pct,t1_primary_10pct
call_event_count,delta__call_event_count,14.75,support_eligible_10pct,working_10pct_support
incoming_call_count,delta__incoming_call_count,14.75,support_eligible_10pct,working_10pct_support
missed_rejected_blocked_call_count,delta__missed_rejected_blocked_call_count,14.75,support_eligible_10pct,working_10pct_support
outgoing_call_count,delta__outgoing_call_count,14.75,support_eligible_10pct,working_10pct_support
total_call_duration_seconds,delta__total_call_duration_seconds,14.75,support_eligible_10pct,working_10pct_support
sensor_linear_accelerometer_active_hour_count,delta__sensor_linear_accelerometer_active_hour_count,26.23,support_eligible_10pct,working_10pct_support
sensor_linear_accelerometer_event_count,delta__sensor_linear_accelerometer_event_count,26.23,support_eligible_10pct,working_10pct_support
sensor_linear_accelerometer_maximum_range,delta__sensor_linear_accelerometer_maximum_range,26.23,support_eligible_10pct,working_10pct_support
sensor_linear_accelerometer_power_ma,delta__sensor_linear_accelerometer_power_ma,26.23,support_eligible_10pct,working_10pct_support
sensor_linear_accelerometer_resolution,delta__sensor_linear_accelerometer_resolution,26.23,support_eligible_10pct,working_10pct_support
keyboard_median_word_completion_time_ms,delta__keyboard_median_word_completion_time_ms,27.87,support_eligible_10pct,working_10pct_support
gsm_neighbor_cell_transition_count,delta__gsm_neighbor_cell_transition_count,32.79,support_eligible_10pct,working_10pct_support
unique_gsm_neighbor_cell_count,delta__unique_gsm_neighbor_cell_count,32.79,support_eligible_10pct,working_10pct_support
location_total_distance_km,delta__location_total_distance_km,36.07,support_eligible_10pct,working_10pct_support
location_distinct_observation_count,delta__location_distinct_observation_count,37.7,support_eligible_10pct,working_10pct_support
significant_active_hour_count,delta__significant_active_hour_count,37.7,support_eligible_10pct,working_10pct_support
significant_motion_transition_count,delta__significant_motion_transition_count,37.7,support_eligible_10pct,working_10pct_support
significant_moving_event_count,delta__significant_moving_event_count,37.7,support_eligible_10pct,working_10pct_support
significant_moving_fraction,delta__significant_moving_fraction,37.7,support_eligible_10pct,working_10pct_support
