analysis_scope,repeat,outcome,model,n_predictions,rmse,mae,r2
repeat,1,Global,mean_baseline,61,5.783454388163738,4.316203161592507,-0.016016174455089294
repeat,1,Global,t1_primary_10pct_delta_ridge,61,5.841911721897989,4.390718684054225,-0.036659118432307514
repeat,2,Global,mean_baseline,61,5.886831035073317,4.371096102375377,-0.0526624557891775
repeat,2,Global,t1_primary_10pct_delta_ridge,61,5.894527998772036,4.383718657247409,-0.05541694338900838
repeat,3,Global,mean_baseline,61,5.793321693538044,4.331238150998105,-0.019486036387545758
repeat,3,Global,t1_primary_10pct_delta_ridge,61,6.253145173740412,4.7100353683489065,-0.18774446423189461
repeat,4,Global,mean_baseline,61,5.834198189250728,4.334882764581243,-0.03392336162461507
repeat,4,Global,t1_primary_10pct_delta_ridge,61,5.84189589255909,4.349316329940336,-0.036653500543144535
repeat,5,Global,mean_baseline,61,5.915985776913425,4.382941619270659,-0.06311497221976903
repeat,5,Global,t1_primary_10pct_delta_ridge,61,5.923222806916066,4.394429676216677,-0.06571758187881449
repeat,6,Global,mean_baseline,61,5.888520928794617,4.350353379056541,-0.05326690425758307
repeat,6,Global,t1_primary_10pct_delta_ridge,61,7.7634396033957245,5.475951400375463,-0.8307723703577103
repeat,7,Global,mean_baseline,61,5.7837044089940255,4.2830768372922945,-0.016104021849146166
repeat,7,Global,t1_primary_10pct_delta_ridge,61,5.811252842914206,4.3155865933561905,-0.025806709682306916
repeat,8,Global,mean_baseline,61,5.8754528155951995,4.329825331772054,-0.048597161830861824
repeat,8,Global,t1_primary_10pct_delta_ridge,61,5.901521786359732,4.36427125304865,-0.05792290853812965
repeat,9,Global,mean_baseline,61,5.811419524543577,4.354579290732688,-0.025865556058649375
repeat,9,Global,t1_primary_10pct_delta_ridge,61,6.324141409727947,4.522731809334273,-0.2148681230707834
repeat,10,Global,mean_baseline,61,5.8680672414217545,4.3762483271997334,-0.04596259906243616
repeat,10,Global,t1_primary_10pct_delta_ridge,61,5.87071792632851,4.383830264813972,-0.04690776323726498
repeat,11,Global,mean_baseline,61,5.886081131866048,4.334592115534739,-0.05239428275417546
repeat,11,Global,t1_primary_10pct_delta_ridge,61,5.897499328099604,4.3485090021184325,-0.056481246321075096
repeat,12,Global,mean_baseline,61,5.879758419127787,4.338075025092005,-0.050134574538360566
repeat,12,Global,t1_primary_10pct_delta_ridge,61,5.887824650669942,4.3479343828009425,-0.0530178354826234
