endpoint,feature_name,source_table,patients_compared,available_24h,available_10d,coverage_24h_percent,coverage_10d_percent,coverage_change_percentage_points
T1,bluetooth_address_diversity_ratio,bluetooth,81,1,1,1.23,1.23,0.0
T1,location_distinct_observation_count,locations,81,1,1,1.23,1.23,0.0
T1,location_total_distance_km,locations,81,1,1,1.23,1.23,0.0
T1,unique_bluetooth_addresses,bluetooth,81,1,1,1.23,1.23,0.0
T1,call_event_count,calls,81,6,9,7.41,11.11,3.7
T1,incoming_call_count,calls,81,6,9,7.41,11.11,3.7
T1,missed_rejected_blocked_call_count,calls,81,6,9,7.41,11.11,3.7
T1,outgoing_call_count,calls,81,6,9,7.41,11.11,3.7
T1,total_call_duration_seconds,calls,81,6,9,7.41,11.11,3.7
T1,activity_active_hour_count,plugin_google_activity_recognition,81,67,71,82.72,87.65,4.94
T1,activity_state_diversity,plugin_google_activity_recognition,81,67,71,82.72,87.65,4.94
T1,activity_still_fraction,plugin_google_activity_recognition,81,67,71,82.72,87.65,4.94
T1,activity_transition_count,plugin_google_activity_recognition,81,67,71,82.72,87.65,4.94
T1,activity_unknown_fraction,plugin_google_activity_recognition,81,67,71,82.72,87.65,4.94
T1,app_foreground_event_count,applications_foreground,81,63,67,77.78,82.72,4.94
T1,app_use_diversity,applications_foreground,81,63,67,77.78,82.72,4.94
T1,gsm_cell_transition_count,gsm,81,67,71,82.72,87.65,4.94
T1,gsm_neighbor_cell_transition_count,gsm_neighbor,81,39,43,48.15,53.09,4.94
T1,message_distinct_event_count,messages,81,54,58,66.67,71.6,4.94
T1,night_screen_event_count,screen,81,68,72,83.95,88.89,4.94
T1,outgoing_message_count,messages,81,54,58,66.67,71.6,4.94
T1,screen_active_hour_count,screen,81,68,72,83.95,88.89,4.94
T1,screen_event_count,screen,81,68,72,83.95,88.89,4.94
T1,screen_off_event_count,screen,81,68,72,83.95,88.89,4.94
T1,screen_on_event_count,screen,81,68,72,83.95,88.89,4.94
T1,screen_transition_count,screen,81,68,72,83.95,88.89,4.94
T1,screen_unlock_event_count,screen,81,68,72,83.95,88.89,4.94
T1,telephony_event_count,telephony,81,67,71,82.72,87.65,4.94
T1,telephony_mobile_data_enabled_fraction,telephony,81,67,71,82.72,87.65,4.94
T1,telephony_network_type_diversity,telephony,81,67,71,82.72,87.65,4.94
T1,touch_active_hour_count,touch,81,61,65,75.31,80.25,4.94
T1,touch_app_diversity,touch,81,61,65,75.31,80.25,4.94
T1,touch_click_event_count,touch,81,61,65,75.31,80.25,4.94
T1,touch_distinct_event_count,touch,81,61,65,75.31,80.25,4.94
T1,touch_scroll_event_count,touch,81,61,65,75.31,80.25,4.94
T1,touch_unique_app_count,touch,81,61,65,75.31,80.25,4.94
T1,unique_foreground_apps,applications_foreground,81,63,67,77.78,82.72,4.94
T1,unique_gsm_cell_count,gsm,81,67,71,82.72,87.65,4.94
T1,unique_gsm_lac_count,gsm,81,67,71,82.72,87.65,4.94
T1,unique_gsm_neighbor_cell_count,gsm_neighbor,81,39,43,48.15,53.09,4.94
