endpoint,window,table_name,patient_table_attempts,calculated,missing_no_pre_t2_window,missing_no_availability_anchored_window,error,retryable_error
T1,24h,applications_foreground,63,63,0,0,0,0
T1,24h,barometer,1,1,0,0,0,0
T1,24h,battery,0,0,0,0,0,0
T1,24h,bluetooth,1,1,0,0,0,0
T1,24h,calls,6,6,0,0,0,0
T1,24h,gsm,67,67,0,0,0,0
T1,24h,gsm_neighbor,42,42,0,0,0,0
T1,24h,keyboard,52,52,0,0,0,0
T1,24h,light,31,31,0,0,0,0
T1,24h,locations,1,1,0,0,0,0
T1,24h,messages,54,54,0,0,0,0
T1,24h,plugin_google_activity_recognition,67,67,0,0,0,0
T1,24h,screen,68,68,0,0,0,0
T1,24h,sensor_linear_accelerometer,31,31,0,0,0,0
T1,24h,significant,48,48,0,0,0,0
T1,24h,telephony,67,67,0,0,0,0
T1,24h,touch,61,61,0,0,0,0
T1,10d,applications_foreground,81,67,0,14,0,0
T1,10d,barometer,81,0,0,81,0,0
T1,10d,battery,81,0,0,81,0,0
T1,10d,bluetooth,81,1,0,80,0,0
T1,10d,calls,81,9,0,72,0,0
T1,10d,gsm,81,71,0,10,0,0
T1,10d,gsm_neighbor,81,45,0,36,0,0
T1,10d,keyboard,81,57,0,24,0,0
T1,10d,locations,81,1,0,80,0,0
T1,10d,messages,81,58,0,23,0,0
T1,10d,plugin_google_activity_recognition,81,71,0,10,0,0
T1,10d,screen,81,72,0,9,0,0
T1,10d,sensor_linear_accelerometer,81,0,0,81,0,0
T1,10d,significant,81,0,0,81,0,0
T1,10d,telephony,81,71,0,10,0,0
T1,10d,touch,81,65,0,16,0,0
T2,24h,applications_foreground,61,22,39,0,0,0
T2,24h,barometer,61,0,61,0,0,0
T2,24h,battery,61,3,58,0,0,0
T2,24h,bluetooth,61,4,57,0,0,0
T2,24h,calls,61,9,52,0,0,0
T2,24h,gsm,61,22,38,0,1,0
T2,24h,gsm_neighbor,61,20,41,0,0,0
T2,24h,keyboard,61,20,41,0,0,0
T2,24h,locations,61,23,38,0,0,0
T2,24h,messages,61,9,52,0,0,0
T2,24h,plugin_google_activity_recognition,61,11,50,0,0,0
T2,24h,screen,61,24,37,0,0,0
T2,24h,sensor_linear_accelerometer,61,16,45,0,0,0
T2,24h,significant,61,23,38,0,0,0
T2,24h,telephony,61,22,39,0,0,0
T2,24h,touch,61,1,60,0,0,0
T2,10d,applications_foreground,61,22,0,39,0,0
T2,10d,barometer,61,0,0,61,0,0
T2,10d,battery,61,3,0,58,0,0
T2,10d,bluetooth,61,4,0,57,0,0
T2,10d,calls,61,9,0,52,0,0
T2,10d,gsm,61,22,0,39,0,0
T2,10d,gsm_neighbor,61,20,0,41,0,0
T2,10d,keyboard,61,20,0,41,0,0
T2,10d,locations,61,23,0,38,0,0
T2,10d,messages,61,9,0,52,0,0
T2,10d,plugin_google_activity_recognition,61,11,0,50,0,0
T2,10d,screen,61,24,0,37,0,0
T2,10d,sensor_linear_accelerometer,61,16,0,45,0,0
T2,10d,significant,61,23,0,38,0,0
T2,10d,telephony,61,22,0,39,0,0
T2,10d,touch,61,1,0,60,0,0
