Subject_ID_N,Subject_ID_D,issue
6,,missing:T2_start_ms
14,042,missing:T2_start_ms
22,052,missing:T2_start_ms
29,055,missing:T2_start_ms
39,050,missing:T2_start_ms
42,043,missing:T2_start_ms
43,066,missing:T2_start_ms
45,028,missing:T2_start_ms
46,069,missing:T2_start_ms
47,079,missing:T2_start_ms
48,037,missing:T2_start_ms
49,084,missing:T2_start_ms
55,081,missing:T2_start_ms
58,061,missing:T2_start_ms
59,058,missing:T2_start_ms
63,092,missing:T2_start_ms
69,064,missing:T2_start_ms
75,026,missing:T2_start_ms
76,086,missing:T2_start_ms
79,018,missing:T2_start_ms
85,049,missing:T2_start_ms
6,,missing:T2_end_ms
14,042,missing:T2_end_ms
22,052,missing:T2_end_ms
29,055,missing:T2_end_ms
39,050,missing:T2_end_ms
42,043,missing:T2_end_ms
43,066,missing:T2_end_ms
45,028,missing:T2_end_ms
46,069,missing:T2_end_ms
47,079,missing:T2_end_ms
48,037,missing:T2_end_ms
49,084,missing:T2_end_ms
55,081,missing:T2_end_ms
58,061,missing:T2_end_ms
59,058,missing:T2_end_ms
63,092,missing:T2_end_ms
69,064,missing:T2_end_ms
75,026,missing:T2_end_ms
76,086,missing:T2_end_ms
79,018,missing:T2_end_ms
85,049,missing:T2_end_ms
6,,missing:late_window_start_ms
14,042,missing:late_window_start_ms
22,052,missing:late_window_start_ms
29,055,missing:late_window_start_ms
39,050,missing:late_window_start_ms
42,043,missing:late_window_start_ms
43,066,missing:late_window_start_ms
45,028,missing:late_window_start_ms
46,069,missing:late_window_start_ms
47,079,missing:late_window_start_ms
48,037,missing:late_window_start_ms
49,084,missing:late_window_start_ms
55,081,missing:late_window_start_ms
58,061,missing:late_window_start_ms
59,058,missing:late_window_start_ms
63,092,missing:late_window_start_ms
69,064,missing:late_window_start_ms
75,026,missing:late_window_start_ms
76,086,missing:late_window_start_ms
79,018,missing:late_window_start_ms
85,049,missing:late_window_start_ms
6,,missing:late_window_end_ms
14,042,missing:late_window_end_ms
22,052,missing:late_window_end_ms
29,055,missing:late_window_end_ms
39,050,missing:late_window_end_ms
42,043,missing:late_window_end_ms
43,066,missing:late_window_end_ms
45,028,missing:late_window_end_ms
46,069,missing:late_window_end_ms
47,079,missing:late_window_end_ms
48,037,missing:late_window_end_ms
49,084,missing:late_window_end_ms
55,081,missing:late_window_end_ms
58,061,missing:late_window_end_ms
59,058,missing:late_window_end_ms
63,092,missing:late_window_end_ms
69,064,missing:late_window_end_ms
75,026,missing:late_window_end_ms
76,086,missing:late_window_end_ms
79,018,missing:late_window_end_ms
85,049,missing:late_window_end_ms
