Subject_ID_N,Subject_ID_D,T1_start_ms,T1_end_ms,T2_start_ms,T2_end_ms,T1_date_iso,T2_date_iso,early_window_start_ms,early_window_end_ms,late_window_start_ms,late_window_end_ms,early_window_start_iso,early_window_end_iso,late_window_start_iso,late_window_end_iso,n_devices_for_subject,mapping_status_summary,device_ids_joined
41,074,1736978400000,1737064799999,1757970000000,1758056399999,2025-01-16,2025-09-16,1736978400000,1737583200000,1757365200000,1757970000000,2025-01-16 00:00:00+0200,2025-01-23 00:00:00+0200,2025-09-09 00:00:00+0300,2025-09-16 00:00:00+0300,2,ok,4870fb6a-a6a6-458d-aba8-56ed070c200e;4b212ab8-f9dd-4e61-be16-1787edb030d3
44,044,1737324000000,1737410399999,1757278800000,1757365199999,2025-01-20,2025-09-08,1737324000000,1737928800000,1756674000000,1757278800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,3,ok,6faf770c-e0bf-4100-9b63-c6167630c854;86994e75-0c10-40f6-9c55-1cfc9d05856e;e2569598-0fd8-4d72-a20e-378428f477a0
82,093,1741212000000,1741298399999,1758142800000,1758229199999,2025-03-06,2025-09-18,1741212000000,1741816800000,1757538000000,1758142800000,2025-03-06 00:00:00+0200,2025-03-13 00:00:00+0200,2025-09-11 00:00:00+0300,2025-09-18 00:00:00+0300,1,ok,7dbb6700-04f4-4492-a0fe-23253c23ff39
40,062,1736978400000,1737064799999,1757970000000,1758056399999,2025-01-16,2025-09-16,1736978400000,1737583200000,1757365200000,1757970000000,2025-01-16 00:00:00+0200,2025-01-23 00:00:00+0200,2025-09-09 00:00:00+0300,2025-09-16 00:00:00+0300,3,ok,358c4427-b62c-4a51-8a8f-748e7cc05ced;b8abe44e-8a03-4fc1-adb4-1c98b27b9822;d3933de9-24b5-4b1d-910e-a4b479b1931a
68,024,1738015200000,1738101599999,1757883600000,1757969999999,2025-01-28,2025-09-15,1738015200000,1738620000000,1757278800000,1757883600000,2025-01-28 00:00:00+0200,2025-02-04 00:00:00+0200,2025-09-08 00:00:00+0300,2025-09-15 00:00:00+0300,2,ok,ea530d49-d351-4456-8892-510264486b17;f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042
72,087,1738620000000,1738706399999,1758142800000,1758229199999,2025-02-04,2025-09-18,1738620000000,1739224800000,1757538000000,1758142800000,2025-02-04 00:00:00+0200,2025-02-11 00:00:00+0200,2025-09-11 00:00:00+0300,2025-09-18 00:00:00+0300,3,ok,5013dc15-16ee-47df-876b-349a95732edb;52edeca1-615e-4163-832e-ba395caaa2eb;86db0ce4-51a9-4151-8fa9-dd7486f467be
77,077,1740434400000,1740520799999,1762898400000,1762984799999,2025-02-25,2025-11-12,1740434400000,1741039200000,1762293600000,1762898400000,2025-02-25 00:00:00+0200,2025-03-04 00:00:00+0200,2025-11-05 00:00:00+0200,2025-11-12 00:00:00+0200,2,ok,444ce4c5-7ef7-4be0-a6f6-58e98a35ca12;c3b613d0-daa4-4d16-b116-1dcf30024a39
13,030,1736287200000,1736373599999,1761688800000,1761775199999,2025-01-08,2025-10-29,1736287200000,1736892000000,1761080400000,1761688800000,2025-01-08 00:00:00+0200,2025-01-15 00:00:00+0200,2025-10-22 00:00:00+0300,2025-10-29 00:00:00+0200,3,ok,2a809985-edc7-453b-9e2c-0c0cbeccf9a0;6a050fca-1274-4481-bc4d-6103a673b3fb;be1e1b3b-4ddf-4851-84d3-990843d5cb58
3,001,1736028000000,1736114399999,1757538000000,1757624399999,2025-01-05,2025-09-11,1736028000000,1736632800000,1756933200000,1757538000000,2025-01-05 00:00:00+0200,2025-01-12 00:00:00+0200,2025-09-04 00:00:00+0300,2025-09-11 00:00:00+0300,1,ok,877c14a8-9ab8-48d4-8fe3-ad3df98c3750
86,095,1742076000000,1742162399999,1761166800000,1761253199999,2025-03-16,2025-10-23,1742076000000,1742680800000,1760562000000,1761166800000,2025-03-16 00:00:00+0200,2025-03-23 00:00:00+0200,2025-10-16 00:00:00+0300,2025-10-23 00:00:00+0300,2,ok,7542dd6c-61ae-4a9d-9422-92053e3ec270;80aa7075-c1e6-494d-980c-141c09cf13d3
