column,non_missing_count,missing_count,missing_percent,numeric_non_missing_count,numeric_min,numeric_mean,numeric_max
Initials,83,0,0.0,0,,,
Subject_ID_N,83,0,0.0,83,3.0,44.86746987951807,87.0
Subject_ID_D,82,1,1.2048,82,1.0,49.08536585365854,96.0
age,83,0,0.0,83,60.0,79.65060240963855,89.0
T1 date,83,0,0.0,83,45662.0,45680.48192771084,45746.0
T1 hour,83,0,0.0,83,0.3972222222222222,0.4668507362784471,0.5506944444444444
T2 date,62,21,25.3012,62,45908.0,45936.32258064516,46021.0
T2 hour,62,21,25.3012,62,0.4069444444444444,0.5047603046594982,0.6486111111111111
Time lap,62,21,25.3012,62,6.1,8.11225806451613,10.27
Computer orientation,83,0,0.0,83,0.8,0.9774698795180724,1.0
Technician assesment 1-5,83,0,0.0,83,1.0,2.1310843373493977,5.0
"Gender (1=M, 2=F)",83,0,0.0,83,1.0,1.7469879518072289,2.0
Education (years),82,1,1.2048,82,10.0,15.085365853658537,21.0
Notes,50,33,39.759,0,,,
overall_Global score T1,83,0,0.0,83,75.6,97.86265060240964,119.4
overall_Global score T2,62,21,25.3012,62,74.5,101.44032258064514,117.3
overall_Global score Δ,62,21,25.3012,62,-10.200000000000005,2.437096774193549,22.30000000000001
overall_Memory T1,83,0,0.0,83,62.4,96.35783132530122,122.1
overall_Memory T2,62,21,25.3012,62,64.5,99.14032258064516,117.6
overall_Memory Δ,62,21,25.3012,62,-20.0,1.3870967741935485,40.0
overall_EF T1,83,0,0.0,83,71.7,98.82048192771084,131.5
overall_EF T2,62,21,25.3012,62,75.9,104.23064516129031,124.8
overall_EF Δ,62,21,25.3012,62,-28.10000000000001,3.67741935483871,23.5
overall_Attention T1,83,0,0.0,83,61.8,95.42048192771085,114.2
overall_Attention T2,62,21,25.3012,62,61.8,100.3532258064516,115.2
overall_Attention Δ,62,21,25.3012,62,-16.700000000000003,3.8580645161290317,27.39999999999999
overall_Processing speed T1,73,10,12.0482,73,62.7,96.22602739726027,121.6
overall_Processing speed T2,57,26,31.3253,57,68.1,100.17894736842105,144.3
overall_Processing speed Δ,52,31,37.3494,52,-31.40000000000001,2.4673076923076915,50.8
overall_Visual Spatial T1,81,2,2.4096,81,66.0,99.04567901234569,148.3
overall_Visual Spatial T2,60,23,27.7108,60,62.5,100.70833333333333,131.7
overall_Visual spatial Δ,59,24,28.9157,59,-31.30000000000001,1.3966101694915245,38.60000000000001
overall_Verbal fun T1,82,1,1.2048,82,25.0,102.51219512195124,116.0
overall_Verbal fun T2,60,23,27.7108,60,25.0,103.44166666666666,117.1
overall_Verbal fun Δ,59,24,28.9157,59,-46.50000000000001,1.54237288135593,56.3
overall_Motor T1,81,2,2.4096,81,71.8,97.21728395061729,120.5
overall_Motor T2,60,23,27.7108,60,76.7,102.56666666666666,122.4
overall_Motor Δ,58,25,30.1205,58,-16.799999999999997,3.2689655172413796,31.799999999999997
