Subject_ID_N,Subject_ID_D,non_missing_cognitive_columns,missing_cognitive_columns,percent_complete
3,001,96,2,97.9592
4,012,90,8,91.8367
5,004,96,2,97.9592
6,,9,89,9.1837
7,048,84,14,85.7143
8,006,80,18,81.6327
9,005,88,10,89.7959
10,013,96,2,97.9592
11,003,90,8,91.8367
12,015,96,2,97.9592
13,030,90,8,91.8367
14,042,12,86,12.2449
15,041,96,2,97.9592
16,025,96,2,97.9592
17,021,96,2,97.9592
18,020,96,2,97.9592
19,036,86,12,87.7551
20,023,96,2,97.9592
21,014,96,2,97.9592
22,052,7,91,7.1429
24,070,96,2,97.9592
25,067,86,12,87.7551
26,060,96,2,97.9592
27,039,90,8,91.8367
28,019,92,6,93.8776
29,055,9,89,9.1837
30,073,96,2,97.9592
31,080,96,2,97.9592
32,053,88,10,89.7959
33,071,96,2,97.9592
34,068,96,2,97.9592
35,010,86,12,87.7551
36,083,96,2,97.9592
37,057,86,12,87.7551
38,056,96,2,97.9592
39,050,9,89,9.1837
40,062,96,2,97.9592
41,074,92,6,93.8776
42,043,8,90,8.1633
43,066,9,89,9.1837
44,044,86,12,87.7551
45,028,8,90,8.1633
46,069,9,89,9.1837
47,079,9,89,9.1837
48,037,9,89,9.1837
49,084,9,89,9.1837
50,038,88,10,89.7959
51,045,78,20,79.5918
52,022,88,10,89.7959
53,075,96,2,97.9592
54,035,96,2,97.9592
55,081,9,89,9.1837
56,090,74,24,75.5102
57,007,96,2,97.9592
58,061,8,90,8.1633
59,058,9,89,9.1837
60,091,73,25,74.4898
61,089,96,2,97.9592
62,032,96,2,97.9592
63,092,9,89,9.1837
64,002,86,12,87.7551
65,040,90,8,91.8367
66,046,96,2,97.9592
67,031,96,2,97.9592
68,024,96,2,97.9592
69,064,9,89,9.1837
70,082,76,22,77.551
71,076,90,8,91.8367
72,087,86,12,87.7551
73,034,84,14,85.7143
74,011,88,10,89.7959
75,026,9,89,9.1837
76,086,9,89,9.1837
77,077,64,34,65.3061
79,018,9,89,9.1837
80,029,96,2,97.9592
81,085,96,2,97.9592
82,093,86,12,87.7551
83,072,96,2,97.9592
84,078,96,2,97.9592
85,049,9,89,9.1837
86,095,96,2,97.9592
87,096,96,2,97.9592
