label,device_ids
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750
002,1f17227b-a259-4caa-bf40-4eccf742447e;c84399c2-6bc9-44ad-9b46-81ba47b5c14b
003,cc373e47-1b4b-4e15-a7e7-7882510d4949
004,dffdd7f7-4fad-4c26-b499-70586d6d0d09
005,3da896f5-a563-44f7-b546-35ed578491af
006,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a;f4be3bd3-21f6-4b83-9728-ad22dd496a0a
007,1abb2d18-29ea-492a-808b-b01e865ebaa5;26b25b93-8dcc-4a4e-8ca2-0d920e37acba
010,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f;95a0d327-70b6-43eb-b34e-885c91d75380
011,93fac996-2c64-403a-a7d6-02932cb988ba
012,333d33c5-8033-4cc0-9425-e0fad00f3613;3b301a33-0640-4ca1-b5da-f92ce279a860;6417d786-cd43-47c2-9379-ff1cf358cd2c
013,23d13a76-7c5a-4ac4-a7eb-5de4025645e7
014,7ad2f17f-8c64-4a0e-9fb5-ddf1db3eec34;c33dd240-956e-4ab5-a321-1deb5186038f
015,0bee8c4e-dfed-40a1-8955-5784a5a4d1aa;911357f0-0c89-4fe2-babb-75000476002f;aee8c46c-ca38-4d68-8c6c-18340cb53649;c11000fb-a64c-4122-a73a-f929697c66cb
018,2b92bd8b-f27e-4ce7-9b0f-85745f8897b0;937ee40a-d71b-4dc0-a9f9-1b8aff7e0e64
019,7f0e6ddf-c0aa-44f4-ba8c-ab9cfbf3da68
020,8551b6d6-e487-47f8-a69a-fa2cfb34230b;8a4d57f0-37b4-4de3-b342-ea3217c195a6
021,230c55a2-f8a2-4e71-9df8-722abfa6f906;4084251f-4b8f-404e-bacb-7cb73892dc53
022,0948b131-dcfe-4482-a223-d9e4561ce019;87beff6c-301b-44de-9347-19a13b4178bc;e543fafa-f97a-414d-8fb4-91a2f135e48d
023,62ff0abd-a9a5-4174-84fa-9825f83079dc;8f544bd0-3f15-4222-9fae-48cbf5237cd6
024,ea530d49-d351-4456-8892-510264486b17;f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042
025,5a305fb3-9bb9-466b-961e-a7c6889be5d6;6ed52930-e174-4c48-896f-cae76aa3b171;9fbd0885-dc45-4352-a895-bceb7c778465;aa5788d8-fddc-41ba-94f1-c69d492f0072;f43dbdf4-c273-4de2-8966-216639f0b6f9
026,1b799d79-1303-44c4-97a7-ad56a19add13
028,305217c2-52e2-4864-af74-dfa4b7334f89;7905f32b-1a85-4a2a-a742-220485f6d29c
029,ca1d9d28-454f-4e58-aba1-61a3c93f5cb5;ed3860d6-8c63-4db3-a74f-263067f0a88f
030,2a809985-edc7-453b-9e2c-0c0cbeccf9a0;6a050fca-1274-4481-bc4d-6103a673b3fb;be1e1b3b-4ddf-4851-84d3-990843d5cb58
031,4c6c7d6e-921b-4288-9f06-67cc96a37d1f;9fba07c0-12f9-4300-a9d2-b204be6da705;a9563005-6158-48e7-bb5b-298d03aa42a0
032,5bfa065e-3922-4e33-ae12-890a438ef2e3;c7fce041-6004-4299-b7d5-8947b4cb54cb
034,778441d9-a8ef-49f0-bee6-35bf069a741e
035,45790f16-2b97-414d-b9e7-cb942ef830c3;b79ed5ec-35c2-4d3b-9017-d312a390cd44
036,051aef7b-10fa-4c8f-b7bb-2afe62692335;360f2200-3070-4959-8581-487fcd7befb9
037,33fab45f-5d44-4384-998a-d3e77228849f;b86bda1a-3f22-4644-b470-ba599a20de89
038,5fc9ae47-81c2-4c71-8705-c17a0331b764;64e8691a-103c-4d2b-bb54-dfd977d1fa6a;df5229e7-99c0-420f-aa89-fc90c888f194
039,72e21d84-c3cb-401a-8beb-4532f39f0688;9aa9b24a-4980-475a-91a1-fc141647d394;dba6b322-c24d-4f1e-a6f3-f9556c60535f
040,a509253e-6fa3-4f0c-8ed4-3fd4c88a9ee8
041,3cb4ec3a-332a-441a-9617-a9d2576c6a33;bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b;d74f7acf-f82f-491d-90b9-d7321e6d4bcf
042,9ca889b9-737b-431b-ac18-12a8f56d3af3;c31dc4f2-ba44-4389-9203-35787faa2a3e
043,845baf83-8b4e-4bf9-b669-8d7ec16eec42;c219c7c9-afca-41d7-8693-332ea5222d08
044,6faf770c-e0bf-4100-9b63-c6167630c854;86994e75-0c10-40f6-9c55-1cfc9d05856e;e2569598-0fd8-4d72-a20e-378428f477a0
