table_name,json_key,n_sampled_rows,n_rows_with_key,percent_rows_with_key,inferred_value_type,example_values_compact,possible_feature_family,possible_feature_notes
applications_foreground,application_name,200,200,100.0,string,"""CAVIA""",unknown,table=applications_foreground key=application_name
applications_foreground,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=applications_foreground key=device_id
applications_foreground,is_system_app,200,200,100.0,string,"""0""",unknown,table=applications_foreground key=is_system_app
applications_foreground,package_name,200,200,100.0,string,"""com.aware.phone""",unknown,table=applications_foreground key=package_name
applications_foreground,timestamp,200,200,100.0,number,1743325074320,unknown,table=applications_foreground key=timestamp
aware_device,board,200,200,100.0,string,"""houji""",unknown,table=aware_device key=board
aware_device,brand,200,200,100.0,string,"""Xiaomi""",unknown,table=aware_device key=brand
aware_device,build_id,200,200,100.0,string,"""AQ3A.240627.003""",unknown,table=aware_device key=build_id
aware_device,device,200,200,100.0,string,"""houji""",unknown,table=aware_device key=device
aware_device,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=aware_device key=device_id
aware_device,hardware,200,200,100.0,string,"""qcom""",unknown,table=aware_device key=hardware
aware_device,label,200,200,100.0,string,"""074""",unknown,table=aware_device key=label
aware_device,manufacturer,200,200,100.0,string,"""Xiaomi""",unknown,table=aware_device key=manufacturer
aware_device,model,200,200,100.0,string,"""23127PN0CG""",unknown,table=aware_device key=model
aware_device,product,200,200,100.0,string,"""houji_global""",unknown,table=aware_device key=product
aware_device,release,200,200,100.0,string,"""15""",unknown,table=aware_device key=release
aware_device,release_type,200,200,100.0,string,"""user""",unknown,table=aware_device key=release_type
aware_device,sdk,200,200,100.0,string,"""35""",unknown,table=aware_device key=sdk
aware_device,serial,200,200,100.0,string,"""unknown""",unknown,table=aware_device key=serial
aware_device,timestamp,200,200,100.0,number,1743325046197,unknown,table=aware_device key=timestamp
aware_log,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=aware_log key=device_id
