table_name,json_key,inferred_value_type,possible_feature_family,possible_feature_notes,example_values_compact,n_sampled_rows,n_rows_with_key,percent_rows_with_key,poc_status,priority,include_in_initial_poc
applications_foreground,application_name,string,unknown,table=applications_foreground key=application_name,"""CAVIA""",200,200,100.0,candidate,unassigned,tbd
applications_foreground,device_id,string,unknown,table=applications_foreground key=device_id,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",200,200,100.0,candidate,unassigned,tbd
applications_foreground,is_system_app,string,unknown,table=applications_foreground key=is_system_app,"""0""",200,200,100.0,candidate,unassigned,tbd
applications_foreground,package_name,string,unknown,table=applications_foreground key=package_name,"""com.aware.phone""",200,200,100.0,candidate,unassigned,tbd
applications_foreground,timestamp,number,unknown,table=applications_foreground key=timestamp,1743325074320,200,200,100.0,candidate,unassigned,tbd
aware_device,board,string,unknown,table=aware_device key=board,"""houji""",200,200,100.0,candidate,unassigned,tbd
aware_device,brand,string,unknown,table=aware_device key=brand,"""Xiaomi""",200,200,100.0,candidate,unassigned,tbd
aware_device,build_id,string,unknown,table=aware_device key=build_id,"""AQ3A.240627.003""",200,200,100.0,candidate,unassigned,tbd
aware_device,device,string,unknown,table=aware_device key=device,"""houji""",200,200,100.0,candidate,unassigned,tbd
aware_device,device_id,string,unknown,table=aware_device key=device_id,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",200,200,100.0,candidate,unassigned,tbd
aware_device,hardware,string,unknown,table=aware_device key=hardware,"""qcom""",200,200,100.0,candidate,unassigned,tbd
aware_device,label,string,unknown,table=aware_device key=label,"""074""",200,200,100.0,candidate,unassigned,tbd
aware_device,manufacturer,string,unknown,table=aware_device key=manufacturer,"""Xiaomi""",200,200,100.0,candidate,unassigned,tbd
aware_device,model,string,unknown,table=aware_device key=model,"""23127PN0CG""",200,200,100.0,candidate,unassigned,tbd
aware_device,product,string,unknown,table=aware_device key=product,"""houji_global""",200,200,100.0,candidate,unassigned,tbd
aware_device,release,string,unknown,table=aware_device key=release,"""15""",200,200,100.0,candidate,unassigned,tbd
aware_device,release_type,string,unknown,table=aware_device key=release_type,"""user""",200,200,100.0,candidate,unassigned,tbd
aware_device,sdk,string,unknown,table=aware_device key=sdk,"""35""",200,200,100.0,candidate,unassigned,tbd
aware_device,serial,string,unknown,table=aware_device key=serial,"""unknown""",200,200,100.0,candidate,unassigned,tbd
aware_device,timestamp,number,unknown,table=aware_device key=timestamp,1743325046197,200,200,100.0,candidate,unassigned,tbd
aware_log,device_id,string,unknown,table=aware_log key=device_id,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",200,200,100.0,candidate,unassigned,tbd
aware_log,log_message,string,social_behavior,communication-related key,"""Scheduler triggered: schedule_aware_keep_alive schedule: {\""schedule\"":{\""schedule_id\"":\""schedule_aware_keep_alive\"",\""action\"":{\""type\"":\""service\"",\""intent_action\"":\""ACTION_AWARE_KEEP_ALIVE\"",\""class\"":\""com.aware.phone\\/com.aware.Aware\""},\""trigger\"":{\""interval\"":30,\""random\"":{},\""context\"":[],\""condition\"":[],\""hour\"":[],\""minute\"":[],\""month\"":[],\""weekday\"":[]}}} package: com.aware.phone"" | ""Scheduler triggered: schedule_aware_study_compliance schedule: {\""schedule\"":{\""schedule_id\"":\""schedule_aware_study_compliance\"",\""action\"":{\""type\"":\""service\"",\""intent_action\"":\""ACTION_AWARE_STUDY_COMPLIANCE\"",\""class\"":\""com.aware.phone\\/com.aware.Aware\""},\""trigger\"":{\""interval\"":10,\""random\"":{},\""context\"":[],\""condition\"":[],\""hour\"":[],\""minute\"":[],\""month\"":[],\""weekday\"":[]}}} package: com.aware.phone"" | ""STUDY-SYNC: aware_device"" | ""{\""internet\"":true,\""wifi\"":true,\""bt\"":true,\""network\"":true,\""airplane\"":false,\""roaming\"":false,\""location_gps\"":true,\""location_network\"":true}"" | ""STUDY-SYNC: screen"" | ""STUDY-SYNC: sensor_accelerometer"" | ""STUDY-SYNC: calls"" | ""STUDY-SYNC: sensor_gyroscope"" | ""STUDY-SYNC: sensor_rotation"" | ""STUDY-SYNC: sensor_light"" | ""STUDY-SYNC: keyboard"" | ""STUDY-SYNC: telephony"" | ""STUDY-SYNC: sensor_proximity"" | ""STUDY-SYNC: sensor_gravity"" | ""STUDY-SYNC: gsm"" | ""STUDY-SYNC: messages"" | ""{\""table\"":\""aware_device\"",\""last_sync_timestamp\"":1743325046197}"" | ""{\""table\"":\""sensor_accelerometer\"",\""last_sync_timestamp\"":1743325072887}"" | ""STUDY-SYNC: aware_studies"" | ""{\""table\"":\""screen\"",\""last_sync_timestamp\"":1743325072941}""",200,200,100.0,candidate,unassigned,tbd
aware_log,timestamp,number,unknown,table=aware_log key=timestamp,1743325072850 | 1743325072862 | 1743325073674 | 1743325073796 | 1743325073835 | 1743325073836 | 1743325073848 | 1743325073853 | 1743325073857 | 1743325073858 | 1743325073862 | 1743325073863 | 1743325073872 | 1743325073874 | 1743325074198 | 1743325074209 | 1743325074258 | 1743325074281 | 1743325074296 | 1743325074308,200,200,100.0,candidate,unassigned,tbd
battery,battery_adaptor,string,phone_use_state,battery/phone usage proxy,"""1"" | ""0""",12,12,100.0,candidate,unassigned,tbd
battery,battery_health,string,mobility,location/movement related key,"""2""",12,12,100.0,candidate,unassigned,tbd
battery,battery_level,string,phone_use_state,battery/phone usage proxy,"""46"" | ""35"" | ""100"" | ""47"" | ""54"" | ""76"" | ""20"" | ""73"" | ""33"" | ""18""",12,12,100.0,candidate,unassigned,tbd
battery,battery_scale,string,phone_use_state,battery/phone usage proxy,"""100""",12,12,100.0,candidate,unassigned,tbd
battery,battery_status,string,phone_use_state,battery/phone usage proxy,"""-3""",12,12,100.0,candidate,unassigned,tbd
battery,battery_technology,string,phone_use_state,battery/phone usage proxy,"""Li-poly""",12,12,100.0,candidate,unassigned,tbd
battery,battery_temperature,string,phone_use_state,battery/phone usage proxy,"""37"" | ""38"" | ""31"" | ""39"" | ""33""",12,12,100.0,candidate,unassigned,tbd
battery,battery_voltage,string,phone_use_state,battery/phone usage proxy,"""3641"" | ""3656"" | ""4284"" | ""3815"" | ""3440"" | ""4161"" | ""3346"" | ""3926"" | ""3334"" | ""4009""",12,12,100.0,candidate,unassigned,tbd
battery,device_id,string,unknown,table=battery key=device_id,"""c3b613d0-daa4-4d16-b116-1dcf30024a39""",12,12,100.0,candidate,unassigned,tbd
battery,timestamp,number,unknown,table=battery key=timestamp,1744033165511 | 1744181962432 | 1745491003013 | 1747656708332 | 1748192824149 | 1748724379881 | 1750149255083 | 1750353152774 | 1751834195599 | 1752610894279,12,12,100.0,candidate,unassigned,tbd
calls,call_duration,string,social_behavior,communication-related key,"""122"" | ""1040"" | ""0"" | ""59"" | ""582"" | ""698""",200,200,100.0,candidate,unassigned,tbd
