table_name,table_type,engine,table_rows_estimate,data_length_mb,index_length_mb,total_size_mb,create_time,update_time,table_category_guess,is_sensor_operational_table,is_high_frequency_table,use_for_now,manual_confirmed_key,manual_confirmed_json_keys,discovery_status
accelerometer,BASE TABLE,InnoDB,3899894130,1238687.0,358526.9688,1597213.9688,2025-01-05 17:05:40,,motion,False,True,later,no,,
applications_foreground,BASE TABLE,InnoDB,2168874,650.0,221.0,871.0,2024-12-10 09:08:11,2026-05-24 11:23:58,phone_usage,False,False,yes,no,,
aware_device,BASE TABLE,InnoDB,16867,8.5156,1.5156,10.0312,2024-12-10 09:07:56,2026-05-24 11:41:12,metadata,False,False,yes,no,,
aware_log,BASE TABLE,InnoDB,55096302,12773.0,5621.7969,18394.7969,2024-12-10 09:07:57,2026-05-24 13:42:05,metadata,False,False,yes,no,,
aware_studies,BASE TABLE,InnoDB,18,0.2969,0.0156,0.3125,2025-05-28 11:28:34,,unknown,False,False,later,no,,
barometer,BASE TABLE,InnoDB,25763375,5783.0,1923.0,7706.0,2025-05-23 12:08:17,,environment,False,False,later_low_priority,yes,double_values_0,heavy_error_lost_connection_but_manual_key_confirmed
battery,BASE TABLE,InnoDB,40896,15.5156,3.5156,19.0312,2025-03-04 10:28:47,2026-01-25 18:52:56,environment,False,False,yes,no,,
battery_charges,BASE TABLE,InnoDB,639,0.1719,0.0625,0.2344,2025-03-08 11:37:39,2026-01-25 18:29:19,environment,False,False,yes,no,,
battery_discharges,BASE TABLE,InnoDB,573,0.1562,0.0625,0.2188,2025-03-08 11:05:35,2026-01-25 18:29:18,environment,False,False,yes,no,,
bluetooth,BASE TABLE,InnoDB,539084,158.6562,45.7344,204.3906,2025-03-04 08:26:35,2026-01-25 16:46:10,location_context,False,False,yes,no,,
calls,BASE TABLE,InnoDB,25492,7.5156,2.5156,10.0312,2025-01-06 09:45:42,2026-05-23 19:46:40,phone_usage,False,False,yes,no,,
gravity,BASE TABLE,InnoDB,3753182543,1192573.0,357248.9844,1549821.9844,2025-01-05 17:05:40,2026-05-20 14:20:04,motion,False,True,later,no,,
gsm,BASE TABLE,InnoDB,1054791,281.7656,101.0,382.7656,2025-01-05 16:45:42,2026-05-24 11:23:59,location_context,False,False,yes,no,,
gsm_neighbor,BASE TABLE,InnoDB,3576689,899.0,381.0,1280.0,2025-01-05 18:06:07,2026-05-23 23:52:42,location_context,False,False,yes,no,,
gyroscope,BASE TABLE,InnoDB,3758319628,1194160.0,356300.9688,1550460.9688,2025-01-05 17:05:40,,motion,False,True,later,no,,
keyboard,BASE TABLE,InnoDB,3716016,1484.0,335.0,1819.0,2025-01-05 17:05:39,2026-05-23 21:19:48,phone_usage,False,False,yes,no,,
light,BASE TABLE,InnoDB,813602413,187787.0,73265.9688,261052.9688,2024-12-10 09:07:57,2026-05-19 07:38:40,environment,False,False,later_optional,yes,double_light_lux,heavy_error_lost_connection_but_manual_key_confirmed
linear_accelerometer,BASE TABLE,InnoDB,539195233,162235.0,49609.0,211844.0,2025-04-29 11:10:45,2026-05-11 13:31:11,motion,False,True,later,no,,
locations,BASE TABLE,InnoDB,339364,121.625,34.6875,156.3125,2025-03-04 08:26:01,2026-05-23 17:25:22,location_context,False,False,yes,no,,
magnetometer,BASE TABLE,InnoDB,346894235,102327.0,32587.0,134914.0,2025-04-29 11:10:45,2026-01-25 18:30:18,motion,False,True,later,no,,
messages,BASE TABLE,InnoDB,39424,9.5156,3.5156,13.0312,2025-01-05 17:35:47,2026-05-24 11:26:13,phone_usage,False,False,yes,no,,
