table_name,feature_name,feature_value,calculation_context,Subject_ID_D,Subject_ID_N,device_id_used,global_T1,T1_date_iso,window_rule,window_start_local,window_end_local,feature_status,source_file
applications_foreground,app_foreground_event_count,698.0,exploratory_t1_ranked_first_valid_24h_in_T1_week,041,15,3cb4ec3a-332a-441a-9617-a9d2576c6a33;bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b;d74f7acf-f82f-491d-90b9-d7321e6d4bcf,119.4,2025-01-08,exploratory_primary_day_after_T1,2025-01-09 00:00:00+0200,2025-01-10 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_applications_foreground.csv
applications_foreground,unique_foreground_apps,22.0,exploratory_t1_ranked_first_valid_24h_in_T1_week,041,15,3cb4ec3a-332a-441a-9617-a9d2576c6a33;bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b;d74f7acf-f82f-491d-90b9-d7321e6d4bcf,119.4,2025-01-08,exploratory_primary_day_after_T1,2025-01-09 00:00:00+0200,2025-01-10 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_applications_foreground.csv
applications_foreground,app_use_diversity,3.593296482573857,exploratory_t1_ranked_first_valid_24h_in_T1_week,041,15,3cb4ec3a-332a-441a-9617-a9d2576c6a33;bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b;d74f7acf-f82f-491d-90b9-d7321e6d4bcf,119.4,2025-01-08,exploratory_primary_day_after_T1,2025-01-09 00:00:00+0200,2025-01-10 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_applications_foreground.csv
battery,low_battery_event_count,,exploratory_t1_ranked_first_valid_24h_in_T1_week,,,,,,no_protocol_valid_24h_window_in_T1_week,,,no_protocol_valid_patient_found,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_battery.csv
battery,charging_or_plugged_event_count,,exploratory_t1_ranked_first_valid_24h_in_T1_week,,,,,,no_protocol_valid_24h_window_in_T1_week,,,no_protocol_valid_patient_found,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_battery.csv
bluetooth,unique_bluetooth_addresses,302.0,exploratory_t1_ranked_first_valid_24h_in_T1_week,085,81,b89546ef-9f57-4fd0-ad48-638a4a783d19;ba371144-2edb-4839-9fd5-1d0466e41510,100.0,2025-03-04,exploratory_fallback_first_24h_span_within_T1_week,2025-03-04 10:26:13+0200,2025-03-05 10:26:13+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_bluetooth.csv
bluetooth,bluetooth_address_diversity_ratio,0.1719817767653758,exploratory_t1_ranked_first_valid_24h_in_T1_week,085,81,b89546ef-9f57-4fd0-ad48-638a4a783d19;ba371144-2edb-4839-9fd5-1d0466e41510,100.0,2025-03-04,exploratory_fallback_first_24h_span_within_T1_week,2025-03-04 10:26:13+0200,2025-03-05 10:26:13+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_bluetooth.csv
calls,call_event_count,5.0,exploratory_t1_ranked_first_valid_24h_in_T1_week,032,62,5bfa065e-3922-4e33-ae12-890a438ef2e3;c7fce041-6004-4299-b7d5-8947b4cb54cb,110.6,2025-01-23,exploratory_primary_day_after_T1,2025-01-24 00:00:00+0200,2025-01-25 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_calls.csv
calls,incoming_call_count,1.0,exploratory_t1_ranked_first_valid_24h_in_T1_week,032,62,5bfa065e-3922-4e33-ae12-890a438ef2e3;c7fce041-6004-4299-b7d5-8947b4cb54cb,110.6,2025-01-23,exploratory_primary_day_after_T1,2025-01-24 00:00:00+0200,2025-01-25 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_calls.csv
calls,outgoing_call_count,4.0,exploratory_t1_ranked_first_valid_24h_in_T1_week,032,62,5bfa065e-3922-4e33-ae12-890a438ef2e3;c7fce041-6004-4299-b7d5-8947b4cb54cb,110.6,2025-01-23,exploratory_primary_day_after_T1,2025-01-24 00:00:00+0200,2025-01-25 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_calls.csv
